City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,26.42,91,9,0.45,EC,1682993847
1,grytviken,-54.2811,-36.5092,-2.8,76,17,4.4,GS,1682993848
2,punta arenas,-53.15,-70.9167,6.06,75,0,18.01,CL,1682993849
3,olonkinbyen,70.9221,-8.7187,-1.76,61,63,3.96,SJ,1682993850
4,invercargill,-46.4,168.35,14.86,69,100,1.84,NZ,1682993851
5,touros,-5.1989,-35.4608,24.93,82,67,3.38,BR,1682993852
6,albany,42.6001,-73.9662,8.23,80,100,1.95,US,1682993669
7,puerto armuelles,8.2833,-82.8667,25.99,81,100,1.17,PA,1682993854
8,iqaluit,63.7506,-68.5145,-1.15,86,100,7.72,CA,1682993672
9,udachny,66.4167,112.4,-6.97,61,100,8.4,RU,1682993857
10,waitangi,-43.9535,-176.5597,16.01,78,97,2.24,NZ,1682993858
11,bredasdorp,-34.5322,20.0403,12.75,74,100,1.89,ZA,1682993859
12,east london,-33.0153,27.9116,16.96,75,96,3.25,ZA,1682993860
13,sao joao da barra,-21.6403,-41.0511,23.02,88,3,1.32,BR,1682993861
14,avarua,-21.2078,-159.775,25.03,69,100,6.69,CK,1682993862
15,binubusan,13.9628,120.6377,31.84,54,47,5.86,PH,1682993863
16,west island,-12.1568,96.8225,27.99,78,40,7.2,CC,1682993865
17,blackmans bay,-43.0167,147.3167,15.07,78,99,1.72,AU,1682993866
18,pergamino,-33.89,-60.5736,10.66,30,40,3.07,AR,1682993867
19,raduzhny,62.0961,77.475,-6.14,80,7,2.59,RU,1682993868
20,longyearbyen,78.2186,15.6401,-15.09,61,20,2.57,SJ,1682993869
21,ulety,51.3572,112.4849,5.74,53,61,8.51,RU,1682993870
22,bethel,41.3712,-73.414,11.2,77,40,1.54,US,1682993822
23,ambazac,45.9598,1.4006,10.18,98,12,1.04,FR,1682993872
24,fabens,31.5023,-106.1586,29.62,25,100,9.19,US,1682993874
25,tofol,5.3248,163.0078,25.88,89,100,1.54,FM,1682993875
26,tiksi,71.6872,128.8694,-5.06,90,100,4.73,RU,1682993876
27,iskateley,67.6803,53.1512,1.63,100,100,7.31,RU,1682993877
28,port-aux-francais,-49.35,70.2167,3.03,69,42,5.22,TF,1682993878
29,yantai,37.5333,121.4,19.78,43,100,7.63,CN,1682993879
30,anadyr,64.75,177.4833,-8.72,78,0,6.0,RU,1682993880
31,rongelap,11.1635,166.8941,27.34,82,29,9.81,MH,1682993881
32,shertallai,9.7,76.3333,25.9,86,100,3.26,IN,1682993884
33,yellowknife,62.456,-114.3525,14.29,44,20,5.14,CA,1682993885
34,la foa,-21.7108,165.8276,28.6,59,10,1.77,NC,1682993886
35,shuangjiang,26.1547,109.7138,21.41,83,100,3.49,CN,1682993887
36,nadym,65.5333,72.5167,-5.31,91,99,5.4,RU,1682993888
37,san antonio de pale,-1.4014,5.6325,27.41,76,100,1.99,GQ,1682993889
38,badger,64.8,-147.5333,13.14,38,75,3.6,US,1682993890
39,tindouf,27.6711,-8.1474,25.25,29,0,5.14,DZ,1682993892
40,papatowai,-46.5619,169.4708,19.79,66,85,4.09,NZ,1682993893
41,oamaru,-45.0784,170.9801,17.99,76,80,6.72,NZ,1682993894
42,hammerfest,70.6634,23.6821,0.25,93,75,6.69,NO,1682993895
43,hithadhoo,-0.6,73.0833,27.06,82,100,6.89,MV,1682993896
44,klyuchi,52.2667,79.1667,2.0,54,9,5.55,RU,1682993897
45,den burg,53.0542,4.7972,8.87,87,100,4.12,NL,1682993898
46,dudinka,69.4058,86.1778,-11.32,89,23,0.38,RU,1682993900
47,owando,-0.4819,15.8999,21.29,97,84,1.26,CG,1682993901
48,katsuren-haebaru,26.3369,127.8719,25.22,53,0,8.23,JP,1682993902
49,iacu,-12.7672,-40.2117,23.22,87,100,1.7,BR,1682993903
50,punch,33.7679,74.0897,14.44,94,100,1.89,IN,1682993904
